Rank,Username,Tiktok Link,Name,Subscribers Count,Views. Avg,Likes. Avg,Comments. Avg,Shares. Avg
53,mrbeast,https://www.tiktok.com/@mrbeast,MrBeast,37.5M,7.6M,1.1M,7.9K,1.2K
54,soysuco,https://www.tiktok.com/@soysuco,soysuco,11.5M,5M,629.6K,18.4K,1.6K
55,eupereiraoficial,https://www.tiktok.com/@eupereiraoficial,Eu Pereira,7.4M,6.9M,854.1K,4.1K,6.2K
56,ryanbakery,https://www.tiktok.com/@ryanbakery,2M,6M,597.4K,7.6K,9.1K
57,starlinecustoms,https://www.tiktok.com/@starlinecustoms,Starline Customs,74.5K,6.9M,408.5K,7.5K,13.6K
58,terryreloaded,https://www.tiktok.com/@terryreloaded,Terry Reloaded,6M,4.3M,849K,5.2K,11K
59,txt.bighitent,https://www.tiktok.com/@txt.bighitent,TOMORROW X TOGETHER,17.4M,2.8M,739.2K,21.5K,6.6K
60,twice_tiktok_official,https://www.tiktok.com/@twice_tiktok_official,TWICE,16.7M,5.2M,875.5K,8K,4.5K
61,bellapoarch,https://www.tiktok.com/@bellapoarch,Bella Poarch,90.5M,7.5M,679.8K,9.5K,1.6K
62,miakhalifa,https://www.tiktok.com/@miakhalifa,Mia K.,34.5M,8.8M,969.8K,4.3K,2.3K
63,jarvali,https://www.tiktok.com/@jarvali,Jarvis,3M,3.9M,1M,8.8K,5K
64,ogikdp,https://www.tiktok.com/@ogikdp,Zona Ogik | YT MELLO PROJECT,3.5M,8.8M,862.1K,4.4K,1.9K
65,nicocaponecomedy,https://www.tiktok.com/@nicocaponecomedy,nicocapone.comedy,22.2M,8.1M,453.7K,2.1K,11K
66,qpark,https://www.tiktok.com/@qpark,Q Park,32.5M,7.5M,417.7K,3K,11.6K
67,2innocents,https://www.tiktok.com/@2innocents,AJ AND JAY,87.6K,4.2M,785.8K,5.7K,8K
68,juaniquilador,https://www.tiktok.com/@juaniquilador,JuanSGuarnizo,10M,5.3M,903.8K,3.7K,5.7K
69,timetreats,https://www.tiktok.com/@timetreats,Time Treats,7.2M,10.3M,550.7K,5K,2.6K
70,papi_dre1,https://www.tiktok.com/@papi_dre1,Dre,3M,3.9M,834.1K,9.3K,3.7K
71,keirariff,https://www.tiktok.com/@keirariff,Keira,4.3M,4.3M,790.8K,5.3K,7.3K
72,matsudake,https://www.tiktok.com/@matsudake,M2DK/マツダ家の日常,5.9M,10.7M,489.5K,5.6K,2.2K
73,dojacat,https://www.tiktok.com/@dojacat,Doja Cat,25.7M,3.5M,685.1K,12.4K,3K
74,ladygaga,https://www.tiktok.com/@ladygaga,ladygaga,6.8M,3.7M,694K,10.5K,3.8K
75,georgieanthony,https://www.tiktok.com/@georgieanthony,georgie munoz,2.5M,2.8M,544.4K,3.6K,20.2K
76,jdpantoja,https://www.tiktok.com/@jdpantoja,JD Pantoja,29.2M,5.4M,816.3K,6.7K,1.4K
77,_.the.meme.hub._,https://www.tiktok.com/@_.the.meme.hub._,RANDOM MEMES,2.3M,3.8M,787.7K,2.9K,9K
78,ssmaaaryy,https://www.tiktok.com/@ssmaaaryy,Razi Monroe,8.6M,7.4M,717.1K,3.1K,3.5K
79,tacticaltaz,https://www.tiktok.com/@tacticaltaz,k9tacticaltaz,1.3M,3.4M,390K,3.1K,23K
80,deborahyowa,https://www.tiktok.com/@deborahyowa,Deborah yowa,15.1M,8M,415.8K,6.8K,3.4K
81,leanadeeb,https://www.tiktok.com/@leanadeeb,Leana Deeb,8.1M,6.3M,991.5K,2.2K,3.1K
82,rubentuestaok,https://www.tiktok.com/@rubentuestaok,Ruben Tuesta,18.1M,6.8M,769.5K,1.5K,4.8K
83,darianrojasc,https://www.tiktok.com/@darianrojasc,D A R I A NR O J A S,30.5M,6.5M,1M,4.2K,574
84,.jmwalton,https://www.tiktok.com/@.jmwalton,,1.6M,3.5M,483.3K,15.8K,3K
85,im_java,https://www.tiktok.com/@im_java,I'M JAVA,58.2K,5.5M,632.6K,1.2K,7.9K
86,seventeen17_official,https://www.tiktok.com/@seventeen17_official,SEVENTEEN,5.1M,2.3M,658K,10.1K,10.8K
87,chinguamiga,https://www.tiktok.com/@chinguamiga,Chingu Amiga,18.9M,7.4M,1.1M,3K,782
88,larrayeeee,https://www.tiktok.com/@larrayeeee,LARRAY,26M,3.1M,760.5K,10.1K,3.1K
89,sharl_crb,https://www.tiktok.com/@sharl_crb,sharl,1.9M,4.9M,819.6K,5.3K,2.4K
90,vhackerr,https://www.tiktok.com/@vhackerr,Vinnie,14.5M,4M,613.1K,7.2K,5.2K
91,charlieputh,https://www.tiktok.com/@charlieputh,Charlie Puth,17.9M,5.1M,583.9K,7.1K,3.1K
92,nicollefigueroaa,https://www.tiktok.com/@nicollefigueroaa,Nicolle Figueroa,11.6M,7.6M,970.6K,3.3K,731
93,max7424453118,https://www.tiktok.com/@max7424453118,Max Taylor,2.8M,3.5M,572.6K,5.2K,9.5K
94,hikakin,https://www.tiktok.com/@hikakin,HIKAKIN ヒカキン公式,1.6M,5.2M,461K,4.4K,7.8K
95,foilarmsandhog,https://www.tiktok.com/@foilarmsandhog,Foil Arms & Hog,509.7K,3.6M,379.5K,1.5K,19.7K
96,qamar_altaey,https://www.tiktok.com/@qamar_altaey,𝑄𝐴𝑀𝐴𝑅,3.3M,3.6M,316.2K,12.2K,12.8K
97,yk_osiris,https://www.tiktok.com/@yk_osiris,YK Osiris,1.9M,4M,449.1K,5.2K,10.4K
98,nolaymex,https://www.tiktok.com/@nolaymex,Nolay,91.7K,8.4M,658K,1.9K,3.2K
99,annajobling,https://www.tiktok.com/@annajobling,anna jobling,581.4K,4.7M,565.4K,7.1K,3.2K
100,kanebrown,https://www.tiktok.com/@kanebrown,Kane Brown,4.8M,2.8M,462.5K,8.8K,12.8K
101,nolaymex,https://www.tiktok.com/@nolaymex,Nolay,91.7K,8.4M,658K,1.9K,3.2K
102,annajobling,https://www.tiktok.com/@annajobling,anna jobling,581.4K,4.7M,565.4K,7.1K,3.2K
103,kanebrown,https://www.tiktok.com/@kanebrown,Kane Brown,4.8M,2.8M,462.5K,8.8K,12.8K
104,datdo0803,https://www.tiktok.com/@datdo0803,Đỗ Đạt,7M,8.6M,708.8K,3.1K,1.4K
105,kervo.dolo,https://www.tiktok.com/@kervo.dolo,Kervo.dolo,9.9M,4.3M,795.3K,3.3K,4.6K
106,jebbi.swag,https://www.tiktok.com/@jebbi.swag,Jessi ;),6.8K,2.3M,569.1K,7.7K,13.1K
107,gabrielabee,https://www.tiktok.com/@gabrielabee,GABI BEE,9.9M,3.8M,772K,7.6K,1.4K
108,hayleygeorgiamorris,https://www.tiktok.com/@hayleygeorgiamorris,Hayley Morris,3.2M,4.5M,463.4K,1.8K,10.8K
109,jaykindafunny8,https://www.tiktok.com/@jaykindafunny8,Jaykindafunny,24.1M,7.4M,566.8K,4.1K,2.1K
110,datvilla94,https://www.tiktok.com/@datvilla94,Đạt Villa,7M,5.1M,418.4K,8.7K,3.5K
111,jennyhan,https://www.tiktok.com/@jennyhan,Jenny Han,1.3M,4.5M,693.9K,4.8K,3.4K
112,dj_hyo,https://www.tiktok.com/@dj_hyo,Hyoyeon_djhyo,1.7M,3.8M,703.1K,5.8K,3.6K
113,comedy_tv08,https://www.tiktok.com/@comedy_tv08,Ukplug 🇬🇧,807.3K,4.9M,572.9K,2.1K,6.8K
114,albertinasacaca,https://www.tiktok.com/@albertinasacaca,Albertina sacaca1,2.1M,6.5M,840.2K,3.5K,967
