Year,Month,YearMonth,   CO2(ppm)
1958,1,1958.0411,-99.99
1958,2,1958.126,-99.99
1958,3,1958.2027,315.71
1958,4,1958.2877,317.45
1958,5,1958.3699,317.51
1958,6,1958.4548,-99.99
1958,7,1958.537,315.87
1958,8,1958.6219,314.93
1958,9,1958.7068,313.21
1958,10,1958.789,-99.99
1958,11,1958.874,313.33
1958,12,1958.9562,314.67
1959,1,1959.0411,315.58
1959,2,1959.126,316.49
1959,3,1959.2027,316.65
1959,4,1959.2877,317.72
1959,5,1959.3699,318.29
1959,6,1959.4548,318.15
1959,7,1959.537,316.54
1959,8,1959.6219,314.8
1959,9,1959.7068,313.84
1959,10,1959.789,313.33
1959,11,1959.874,314.81
1959,12,1959.9562,315.58
1960,1,1960.041,316.43
1960,2,1960.1257,316.98
1960,3,1960.2049,317.58
1960,4,1960.2896,319.03
1960,5,1960.3716,320.03
1960,6,1960.4563,319.59
1960,7,1960.5383,318.18
1960,8,1960.623,315.9
1960,9,1960.7077,314.17
1960,10,1960.7896,313.83
1960,11,1960.8743,315
1960,12,1960.9563,316.19
1961,1,1961.0411,316.89
1961,2,1961.126,317.7
1961,3,1961.2027,318.54
1961,4,1961.2877,319.48
1961,5,1961.3699,320.58
1961,6,1961.4548,319.77
1961,7,1961.537,318.56
1961,8,1961.6219,316.79
1961,9,1961.7068,314.99
1961,10,1961.789,315.31
1961,11,1961.874,316.1
1961,12,1961.9562,317.01
1962,1,1962.0411,317.94
1962,2,1962.126,318.55
1962,3,1962.2027,319.68
1962,4,1962.2877,320.57
1962,5,1962.3699,321.02
1962,6,1962.4548,320.62
1962,7,1962.537,319.61
1962,8,1962.6219,317.4
1962,9,1962.7068,316.24
1962,10,1962.789,315.42
1962,11,1962.874,316.69
1962,12,1962.9562,317.7
1963,1,1963.0411,318.74
1963,2,1963.126,319.07
1963,3,1963.2027,319.86
1963,4,1963.2877,321.38
1963,5,1963.3699,322.25
1963,6,1963.4548,321.49
1963,7,1963.537,319.74
1963,8,1963.6219,317.77
1963,9,1963.7068,316.21
1963,10,1963.789,315.99
1963,11,1963.874,317.07
1963,12,1963.9562,318.35
1964,1,1964.041,319.57
1964,2,1964.1257,-99.99
1964,3,1964.2049,-99.99
1964,4,1964.2896,-99.99
1964,5,1964.3716,322.25
1964,6,1964.4563,321.89
1964,7,1964.5383,320.44
1964,8,1964.623,318.69
1964,9,1964.7077,316.71
1964,10,1964.7896,316.87
1964,11,1964.8743,317.68
1964,12,1964.9563,318.71
1965,1,1965.0411,319.44
1965,2,1965.126,320.44
1965,3,1965.2027,320.89
1965,4,1965.2877,322.13
1965,5,1965.3699,322.17
1965,6,1965.4548,321.87
1965,7,1965.537,321.21
1965,8,1965.6219,318.87
1965,9,1965.7068,317.82
1965,10,1965.789,317.3
1965,11,1965.874,318.87
1965,12,1965.9562,319.42
1966,1,1966.0411,320.62
1966,2,1966.126,321.6
1966,3,1966.2027,322.39
1966,4,1966.2877,323.7
1966,5,1966.3699,324.08
1966,6,1966.4548,323.75
1966,7,1966.537,322.37
1966,8,1966.6219,320.36
1966,9,1966.7068,318.64
1966,10,1966.789,318.1
1966,11,1966.874,319.78
1966,12,1966.9562,321.02
1967,1,1967.0411,322.33
1967,2,1967.126,322.5
1967,3,1967.2027,323.03
1967,4,1967.2877,324.41
1967,5,1967.3699,325
1967,6,1967.4548,324.09
1967,7,1967.537,322.54
1967,8,1967.6219,320.92
1967,9,1967.7068,319.25
1967,10,1967.789,319.39
1967,11,1967.874,320.72
1967,12,1967.9562,321.95
1968,1,1968.041,322.57
1968,2,1968.1257,323.15
1968,3,1968.2049,323.89
1968,4,1968.2896,325.02
1968,5,1968.3716,325.57
1968,6,1968.4563,325.36
1968,7,1968.5383,324.14
1968,8,1968.623,322.11
1968,9,1968.7077,320.33
1968,10,1968.7896,320.25
1968,11,1968.8743,321.32
1968,12,1968.9563,322.89
1969,1,1969.0411,324
1969,2,1969.126,324.41
1969,3,1969.2027,325.63
1969,4,1969.2877,326.66
1969,5,1969.3699,327.38
1969,6,1969.4548,326.71
1969,7,1969.537,325.88
1969,8,1969.6219,323.66
1969,9,1969.7068,322.38
1969,10,1969.789,321.78
1969,11,1969.874,322.85
1969,12,1969.9562,324.11
1970,1,1970.0411,325.06
1970,2,1970.126,325.99
1970,3,1970.2027,326.93
1970,4,1970.2877,328.13
1970,5,1970.3699,328.08
1970,6,1970.4548,327.67
1970,7,1970.537,326.34
1970,8,1970.6219,324.68
1970,9,1970.7068,323.1
1970,10,1970.789,323.07
1970,11,1970.874,324.01
1970,12,1970.9562,325.13
1971,1,1971.0411,326.17
1971,2,1971.126,326.68
1971,3,1971.2027,327.18
1971,4,1971.2877,327.78
1971,5,1971.3699,328.93
1971,6,1971.4548,328.57
1971,7,1971.537,327.36
1971,8,1971.6219,325.43
1971,9,1971.7068,323.36
1971,10,1971.789,323.56
1971,11,1971.874,324.8
1971,12,1971.9562,326.01
1972,1,1972.041,326.77
1972,2,1972.1257,327.63
1972,3,1972.2049,327.75
1972,4,1972.2896,329.72
1972,5,1972.3716,330.07
1972,6,1972.4563,329.09
1972,7,1972.5383,328.04
1972,8,1972.623,326.32
1972,9,1972.7077,324.84
1972,10,1972.7896,325.2
1972,11,1972.8743,326.5
1972,12,1972.9563,327.55
1973,1,1973.0411,328.55
1973,2,1973.126,329.56
1973,3,1973.2027,330.3
1973,4,1973.2877,331.5
1973,5,1973.3699,332.48
1973,6,1973.4548,332.07
1973,7,1973.537,330.87
1973,8,1973.6219,329.31
1973,9,1973.7068,327.52
1973,10,1973.789,327.19
1973,11,1973.874,328.16
1973,12,1973.9562,328.65
1974,1,1974.0411,329.36
1974,2,1974.126,330.71
1974,3,1974.2027,331.49
1974,4,1974.2877,332.65
1974,5,1974.3699,333.1
1974,6,1974.4548,332.26
1974,7,1974.537,331.18
1974,8,1974.6219,329.4
1974,9,1974.7068,327.44
1974,10,1974.789,327.38
1974,11,1974.874,328.46
1974,12,1974.9562,329.58
1975,1,1975.0411,330.41
1975,2,1975.126,331.41
1975,3,1975.2027,332.05
1975,4,1975.2877,333.32
1975,5,1975.3699,333.98
1975,6,1975.4548,333.62
1975,7,1975.537,331.91
1975,8,1975.6219,330.06
1975,9,1975.7068,328.57
1975,10,1975.789,328.35
1975,11,1975.874,329.5
1975,12,1975.9562,330.77
1976,1,1976.041,331.76
1976,2,1976.1257,332.58
1976,3,1976.2049,333.5
1976,4,1976.2896,334.59
1976,5,1976.3716,334.89
1976,6,1976.4563,334.34
1976,7,1976.5383,333.06
1976,8,1976.623,330.95
1976,9,1976.7077,329.31
1976,10,1976.7896,328.95
1976,11,1976.8743,330.32
1976,12,1976.9563,331.69
1977,1,1977.0411,332.94
1977,2,1977.126,333.43
1977,3,1977.2027,334.71
1977,4,1977.2877,336.08
1977,5,1977.3699,336.76
1977,6,1977.4548,336.28
1977,7,1977.537,334.93
1977,8,1977.6219,332.76
1977,9,1977.7068,331.6
1977,10,1977.789,331.17
1977,11,1977.874,332.41
1977,12,1977.9562,333.86
1978,1,1978.0411,334.98
1978,2,1978.126,335.4
1978,3,1978.2027,336.65
1978,4,1978.2877,337.76
1978,5,1978.3699,338.02
1978,6,1978.4548,337.91
1978,7,1978.537,336.55
1978,8,1978.6219,334.69
1978,9,1978.7068,332.77
1978,10,1978.789,332.56
1978,11,1978.874,333.93
1978,12,1978.9562,334.96
1979,1,1979.0411,336.24
1979,2,1979.126,336.77
1979,3,1979.2027,337.97
1979,4,1979.2877,338.89
1979,5,1979.3699,339.48
1979,6,1979.4548,339.3
1979,7,1979.537,337.74
1979,8,1979.6219,336.1
1979,9,1979.7068,333.93
1979,10,1979.789,333.87
1979,11,1979.874,335.3
1979,12,1979.9562,336.74
1980,1,1980.041,338.03
1980,2,1980.1257,338.37
1980,3,1980.2049,340.09
1980,4,1980.2896,340.78
1980,5,1980.3716,341.48
1980,6,1980.4563,341.19
1980,7,1980.5383,339.57
1980,8,1980.623,337.61
1980,9,1980.7077,335.9
1980,10,1980.7896,336.03
1980,11,1980.8743,337.12
1980,12,1980.9563,338.23
1981,1,1981.0411,339.25
1981,2,1981.126,340.5
1981,3,1981.2027,341.4
1981,4,1981.2877,342.52
1981,5,1981.3699,342.93
1981,6,1981.4548,342.27
1981,7,1981.537,340.5
1981,8,1981.6219,338.45
1981,9,1981.7068,336.71
1981,10,1981.789,336.88
1981,11,1981.874,338.38
1981,12,1981.9562,339.63
1982,1,1982.0411,340.77
1982,2,1982.126,341.63
1982,3,1982.2027,342.72
1982,4,1982.2877,343.59
1982,5,1982.3699,344.16
1982,6,1982.4548,343.37
1982,7,1982.537,342.07
1982,8,1982.6219,339.83
1982,9,1982.7068,338
1982,10,1982.789,337.88
1982,11,1982.874,339.28
1982,12,1982.9562,340.51
1983,1,1983.0411,341.4
1983,2,1983.126,342.54
1983,3,1983.2027,343.12
1983,4,1983.2877,344.96
1983,5,1983.3699,345.78
1983,6,1983.4548,345.34
1983,7,1983.537,344
1983,8,1983.6219,342.4
1983,9,1983.7068,339.89
1983,10,1983.789,340.01
1983,11,1983.874,341.16
1983,12,1983.9562,342.98
1984,1,1984.041,343.82
1984,2,1984.1257,344.62
1984,3,1984.2049,345.38
1984,4,1984.2896,347.15
1984,5,1984.3716,347.52
1984,6,1984.4563,346.88
1984,7,1984.5383,345.47
1984,8,1984.623,343.34
1984,9,1984.7077,341.13
1984,10,1984.7896,341.4
1984,11,1984.8743,343.02
1984,12,1984.9563,344.25
1985,1,1985.0411,344.99
1985,2,1985.126,346.01
1985,3,1985.2027,347.43
1985,4,1985.2877,348.34
1985,5,1985.3699,348.92
1985,6,1985.4548,348.24
1985,7,1985.537,346.54
1985,8,1985.6219,344.64
1985,9,1985.7068,343.06
1985,10,1985.789,342.78
1985,11,1985.874,344.21
1985,12,1985.9562,345.53
1986,1,1986.0411,346.28
1986,2,1986.126,346.93
1986,3,1986.2027,347.83
1986,4,1986.2877,349.53
1986,5,1986.3699,350.19
1986,6,1986.4548,349.54
1986,7,1986.537,347.92
1986,8,1986.6219,345.88
1986,9,1986.7068,344.83
1986,10,1986.789,344.15
1986,11,1986.874,345.64
1986,12,1986.9562,346.88
1987,1,1987.0411,348
1987,2,1987.126,348.47
1987,3,1987.2027,349.41
1987,4,1987.2877,350.97
1987,5,1987.3699,351.84
1987,6,1987.4548,351.25
1987,7,1987.537,349.5
1987,8,1987.6219,348.08
1987,9,1987.7068,346.44
1987,10,1987.789,346.1
1987,11,1987.874,347.54
1987,12,1987.9562,348.69
1988,1,1988.041,350.16
1988,2,1988.1257,351.47
1988,3,1988.2049,351.96
1988,4,1988.2896,353.33
1988,5,1988.3716,353.97
1988,6,1988.4563,353.55
1988,7,1988.5383,352.14
1988,8,1988.623,350.19
1988,9,1988.7077,348.5
1988,10,1988.7896,348.66
1988,11,1988.8743,349.85
1988,12,1988.9563,351.12
1989,1,1989.0411,352.55
1989,2,1989.126,352.86
1989,3,1989.2027,353.48
1989,4,1989.2877,355.21
1989,5,1989.3699,355.47
1989,6,1989.4548,354.92
1989,7,1989.537,353.7
1989,8,1989.6219,351.47
1989,9,1989.7068,349.61
1989,10,1989.789,349.79
1989,11,1989.874,351.09
1989,12,1989.9562,352.32
1990,1,1990.0411,353.46
1990,2,1990.126,354.5
1990,3,1990.2027,355.19
1990,4,1990.2877,356
1990,5,1990.3699,356.96
1990,6,1990.4548,356.04
1990,7,1990.537,354.62
1990,8,1990.6219,352.71
1990,9,1990.7068,350.77
1990,10,1990.789,350.99
1990,11,1990.874,352.64
1990,12,1990.9562,354.02
1991,1,1991.0411,354.53
1991,2,1991.126,355.55
1991,3,1991.2027,356.96
1991,4,1991.2877,358.4
1991,5,1991.3699,359.14
1991,6,1991.4548,358.04
1991,7,1991.537,355.98
1991,8,1991.6219,353.81
